UF,DESTINO,TIPO,INDICEGERAL,INFRAESTRUTURA_GERAL,ACESSO,SERVICOS_E_EQUIPAMENTOS_TURISTICOS,ATRATIVOS_TURISTICOS,MARKETING_E_PROMOCAO_DO_TURISMO,POLITICAS_PUBLICAS,COOPERACAO_REGIONAL,MONITORAMENTO,ECONOMIA_LOCAL,CAPACIDADE_EMPRESARIAL,ASPECTOS_SOCIAIS,ASPECTOS_AMBIENTAIS,ASPECTOS_CULTURAIS,ANO
GO,Alto Paraíso de Goiás,Não capital,"43,6","63,7","40,4","31,9","66,6",25,"55,1","41,8",20,44,"14,4","51,6","55,2","45,7",2009
RJ,Angra dos Reis,Não capital,"55,7",51,"67,9","42,3","62,3","36,4","47,6","61,5","55,8","54,6","64,2","64,3","62,6","52,4",2009
SE,Aracaju,Capital,"56,4",67,"67,9","41,8","58,4","42,1","61,9","52,6","29,5","49,8","81,4","62,6","50,4","55,2",2009
CE,Aracati,Não capital,"42,6","53,4",42,22,"54,1","20,9","42,5","45,9","16,9","46,7","48,2","48,3","48,4","61,8",2009
RJ,Armação dos Búzios,Não capital,"46,7",51,"48,1","40,6","60,4","55,1","51,5","30,3","23,9","46,2","50,5","46,6","53,8","37,7",2009
SC,Balneário Camboriú,Não capital,"62,9","66,7",67,"62,6","67,2",61,"63,4","51,8","74,8","41,6","62,8","69,9",65,"59,5",2009
AM,Barcelos,Não capital,34,"40,2","34,8","13,1","63,2","11,5",30,37,"22,2","48,6","13,9","40,2","55,9",29,2009
MA,Barreirinhas,Não capital,"41,1","45,2",38,"30,5","62,2","25,2","64,2","38,3","19,5","37,6","17,4","54,9","54,3",42,2009
PA,Belém,Capital,"66,3","73,2","70,3","63,6","73,2","64,3","47,3","49,2",46,"65,4","77,8","66,2","74,4","77,7",2009
MG,Belo Horizonte,Capital,"72,6","80,6","73,1",72,"60,3","88,7","69,1","50,5","74,5","78,5","89,8","72,3","70,1","61,4",2009
RS,Bento Gonçalves,Não capital,"60,3","75,5","57,9","61,4","64,6",35,"64,6","63,3","30,6","70,7","64,9","59,5","66,4","59,3",2009
RR,Boa Vista,Capital,"52,1","65,9","61,2","52,5","45,9","63,4","44,4",28,"31,5","36,1",56,"56,7","64,7","52,1",2009
MS,Bonito,Não capital,48,"55,4","57,4","34,8","65,9","47,1","47,7","46,8","6,1","63,4","37,2","51,9","55,8",38,2009
DF,Brasília,Capital,"69,4","75,7","85,4","63,3",75,"35,9","50,9","61,5","53,6","77,4","93,6","67,8","75,5","72,5",2009
MT,Cáceres,Não capital,"48,2","62,9","61,8","28,5","60,3","12,4","56,2","34,1","27,2","52,5","46,9","60,8","51,7","58,6",2009
GO,Caldas Novas,Não capital,"50,7","63,2","52,4","40,5","72,1","23,4",55,"40,5","19,1","59,8","62,5","59,6",65,"31,4",2009
MS,Campo Grande,Capital,"53,7","67,8","66,9","44,9","37,4","40,8","45,7","57,8","20,7","74,8","68,8","50,6",56,"56,4",2009
MS,Corumbá,Não capital,"51,7","62,3","57,1","37,4","59,7","27,9","56,8","43,8","43,9","71,7","51,6","51,8","56,7",49,2009
MT,Cuiabá,Capital,"63,5","77,5","70,9","51,6",45,"61,8","72,2","55,4","50,7",76,"65,5","71,3","60,2","65,7",2009
PR,Curitiba,Capital,"70,6","81,7","75,7",66,"71,2","59,2","59,8","52,6","55,9","81,2","92,2","72,8","84,4","54,9",2009
MG,Diamantina,Não capital,"55,5","71,1","65,7","50,3","59,4","33,8","46,8","63,1","29,4","47,6","48,9","57,3","60,7","71,3",2009
PE,Fernando de Noronha,Não capital,"48,3","73,5","33,6","33,4","64,8","58,2","34,3","27,2","50,6",52,"32,6","51,2","75,5","37,5",2009
SC,Florianópolis,Capital,"66,2","83,5","72,7",70,"60,3","39,6","73,1","56,3","31,2","76,3","82,3","69,8","74,4","53,8",2009
CE,Fortaleza,Capital,"62,4","79,2","78,2","62,8","52,2","44,9","50,5","40,4","54,1","73,5","81,5","61,6","53,4",64,2009
PR,Foz do Iguaçu,Não capital,70,74,"76,5",69,74,"86,8","66,1","65,3","73,6","65,5","74,9","53,9","75,7","47,5",2009
GO,Goiânia,Capital,"62,6","73,8","69,8","60,3","49,1","25,4","64,9","67,2","35,7","64,6","86,5","69,4","72,7","66,1",2009
RS,Gramado,Não capital,"56,9","67,2","60,9","60,6","68,6","42,2","60,5","33,7","25,1",75,"58,1","52,5","56,2","60,3",2009
SP,Ilhabela,Não capital,"51,2","61,2","58,8","44,1","42,4","38,7",69,"64,7","49,1","42,5","28,2","70,5","56,5","39,3",2009
PE,Ipojuca,Não capital,"38,6","61,3","38,9",24,"52,2","30,7","41,6",13,"27,4","64,1","23,9",52,"28,4","36,1",2009
CE,Jijoca de Jericoacoara,Não capital,35,49,"39,6","32,4","50,2","25,4","23,2","38,5","2,6","39,8","16,8","39,5","53,2","27,2",2009
PB,João Pessoa,Capital,"66,1","79,1","69,4","64,3","60,4","49,9","70,7","61,8","67,5","60,3","83,2","68,2","63,1","56,7",2009
BA,Lençóis,Não capital,"48,6","64,1","37,8","32,3","67,2","17,5","59,1","70,1","41,4","46,7","35,2","47,3","66,8","50,3",2009
AP,Macapá,Capital,"50,4","51,9","50,4","50,9","49,2","30,2",53,22,"40,3","55,4","51,6","58,3","69,7","68,2",2009
AL,Maceió,Capital,"57,1","61,6","68,4","68,8","55,5","39,8","54,7","30,1","26,5","63,5","67,9","47,6",69,"68,2",2009
AM,Manaus,Capital,"63,1","67,3",70,"59,8","74,2","31,8","50,3","52,8","41,8","72,6","90,3","59,9","71,4","66,6",2009
AL,Maragogi,Não capital,"42,4","58,6","33,2","32,9","58,6","23,2","56,1","66,8","14,7","44,9","20,4","42,9","62,9","32,1",2009
BA,Maraú,Não capital,"43,8","35,2","37,2",29,51,"54,4","57,2","74,1","15,8","42,6","24,7","45,5","50,7","59,2",2009
BA,Mata de São João,Não capital,"48,5","47,5","54,8","24,1","66,1","53,2","47,9","62,6","35,9","45,7","30,7","60,3","56,6","44,8",2009
TO,Mateiros,Não capital,"33,9","30,3","22,4","35,5","63,1","43,3","37,2","38,4","17,3","16,4",12,"30,4","50,2","37,6",2009
RN,Natal,Capital,62,"61,9","63,5","70,8","54,6","48,8","50,9","73,7","30,4","54,5","80,2","71,8","72,8","63,3",2009
CE,Nova Olinda,Não capital,"35,9","55,3","24,6","7,9","39,8","36,3","32,6","63,1","2,7","41,5","21,1","37,3","54,7","54,8",2009
MG,Ouro Preto,Não capital,"64,3",64,"57,8","45,4","74,8","71,8","67,8","70,7","59,3",52,"60,3","70,6","68,4","79,1",2009
TO,Palmas,Capital,52,"73,7",61,"37,3","38,2","27,4","56,6","52,7","47,1","48,9","64,4","42,1","74,5","47,8",2009
PR,Paranaguá,Não capital,"55,1","72,9","48,2","44,4","56,1","38,4","60,6","54,3",35,"68,6","49,5","61,2","68,6","56,4",2009
RJ,Paraty,Não capital,"51,6","69,4","65,4","43,4","65,8","62,6","31,9","43,4",1,"45,9","37,9","51,2","51,9","71,4",2009
AM,Parintins,Não capital,"46,5","49,1","35,3",45,"57,2","21,5","48,4",48,47,"44,1",43,"65,1","60,2","45,2",2009
PI,Parnaíba,Não capital,"42,3",62,"56,4","28,8","55,3","12,1","41,4","28,4",5,"35,6","42,1","59,5","50,7","48,7",2009
RJ,Petrópolis,Não capital,"57,7","64,2","68,1","44,6","67,6","36,7","56,5","48,8","44,8","55,5","59,7","60,1","69,3","65,8",2009
GO,Pirenópolis,Não capital,55,"61,3","45,7","45,2","64,4","59,1","63,3","62,8","43,2","67,5","30,4","55,7","57,6","62,3",2009
RS,Porto Alegre,Capital,67,"77,9","80,1","69,8","61,7","54,3",66,"33,6","43,7","80,7","87,9","69,2","66,8",61,2009
BA,Porto Seguro,Não capital,"57,5","54,9",69,"54,7","63,6","36,4","70,8","62,8","30,6","45,9","68,8",56,"68,4","53,6",2009
RO,Porto Velho,Capital,"45,7",50,"59,9",33,"39,4","27,8","46,9","42,2",0,49,"61,7","59,4","64,9","46,8",2009
PE,Recife,Capital,"72,9",80,73,"71,8","66,1","84,8","73,9","58,3","71,9","77,7","90,9","62,9","56,9","77,1",2009
AC,Rio Branco,Capital,"49,3","59,2","62,1","41,6",46,"20,5","53,9","38,8","9,8","73,5","51,7","60,9","62,9","46,9",2009
RJ,Rio de Janeiro,Capital,"73,9","82,4","87,9","73,4","87,7","67,2","69,2","28,3","61,1","80,6","91,4","66,8","68,1","74,1",2009
BA,Salvador,Capital,"72,4","74,9","83,4","68,9","85,4",47,"64,1","61,6","44,8","70,5","90,5","71,6","74,2","87,7",2009
PA,Santarém,Não capital,"52,2","60,1","64,2","51,7","55,7","27,5","44,6","50,2","59,8","42,7","55,4","60,5","53,6","44,1",2009
SC,São Joaquim,Não capital,"39,8","67,8","50,8","28,4","45,3","29,5",41,"28,1","5,9","58,9","33,9","40,7",30,"35,3",2009
MA,São Luís,Capital,"59,8",61,"57,8","60,9","60,1","39,3","53,3","41,8","42,1","72,5","80,8","63,9","67,8","72,2",2009
SP,São Paulo,Capital,"74,2","82,8",90,"81,1","76,1",75,"67,1","33,5","68,4","81,5",94,"62,1","68,2","63,3",2009
PI,São Raimundo Nonato,Não capital,"35,1",59,"25,3","19,5","65,3","17,2","29,8",10,"1,4","32,7","28,1","45,1","60,1","46,9",2009
PI,Teresina,Capital,"47,3","57,6","58,6","44,5",46,"23,5","43,6","14,6","5,4","55,2","70,8","58,9","67,1","48,1",2009
RN,Tibau do Sul,Não capital,"41,9","48,1","41,7","36,3","41,2","22,4","55,9","71,9","24,8",26,"16,5","56,7","72,8","30,2",2009
MG,Tiradentes,Não capital,"44,8","65,8","53,3","30,8","58,7","29,1","30,8","60,6","12,1","46,6","23,6",47,"58,7","48,1",2009
ES,Vitória,Capital,"62,3","77,2",61,"58,6","50,1","50,4","70,9","55,5","44,9","75,2","75,7","58,9","56,9","72,1",2009
GO,Alto Paraíso de Goiás,Não capital,"41,4","66,5","38,1","29,5",63,"18,1","52,9","42,1","13,5","53,9","6,7","49,4","53,1","38,6",2008
RJ,Angra dos Reis,Não capital,56,"47,1",67,"40,5","60,5","56,8",45,60,"58,5",53,"64,6","63,5","60,5","53,8",2008
SE,Aracaju,Capital,"52,4",70,"63,6","39,3","56,9","46,8","59,4","51,4","22,5",39,"44,3","63,6","45,8",62,2008
CE,Aracati,Não capital,"39,7","50,5",41,"18,5","52,8","12,4","38,3","36,2","13,6",39,"37,7","63,9","44,5",63,2008
RJ,Armação dos Búzios,Não capital,"46,2",48,"45,3","41,2","60,5","62,3","53,2","29,1","28,5","36,5","49,5","44,4","51,6","40,2",2008
SC,Balneário Camboriú,Não capital,"63,4","62,6","65,2","58,3",69,64,"57,9","51,2",77,"39,7",64,"77,8","70,5","65,7",2008
AM,Barcelos,Não capital,"34,9","43,1","34,6","23,8","63,5","8,8","26,6",38,"22,4","44,4","11,3","38,2","55,9","36,9",2008
MA,Barreirinhas,Não capital,"40,1","43,8","36,8","29,4","54,2",25,"63,1","32,1","19,3","39,5","21,6",57,"53,3","43,1",2008
PA,Belém,Capital,"63,7","75,4","68,3","61,5","71,1","61,9","44,4","48,2","40,6",65,"66,1","64,1","68,7","76,9",2008
MG,Belo Horizonte,Capital,69,"80,5","69,2","72,9","57,4","84,5","71,1","16,3","77,3",75,"86,1","70,7","69,3","59,7",2008
RS,Bento Gonçalves,Não capital,"59,3","77,5","54,8","59,5","63,4","32,3","61,6","61,7","25,4",69,"72,6","54,5","64,9","62,3",2008
RR,Boa Vista,Capital,52,"64,3","58,7","49,9","40,8","64,4","41,9","21,1",46,"42,5",52,"67,5","62,7","52,9",2008
MS,Bonito,Não capital,"44,5","54,2","55,7","31,5","47,3","50,7","42,1","47,1",3,"69,8",24,"48,6","53,4","38,1",2008
DF,Brasília,Capital,"65,7","65,3",80,"60,8","69,6","31,8","49,3","61,1","54,6",76,"91,1","61,2","72,7","72,5",2008
MT,Cáceres,Não capital,48,62,"58,1","28,8","64,4","16,8","56,2","33,9","25,4","55,4","31,6","61,5","52,4","65,7",2008
GO,Caldas Novas,Não capital,"49,9","62,4","51,7","37,9","68,1","20,2",53,"41,5","35,3","60,5","60,9","56,9","62,9","29,2",2008
MS,Campo Grande,Capital,"50,8","65,6","65,3","42,6","36,1","35,9","41,4","57,1","19,8","73,7","57,2","48,1","52,7","54,4",2008
MS,Corumbá,Não capital,48,"61,3","54,8","34,8","54,1","23,1","54,8","44,8","42,9","70,9","40,5","48,3","46,9","44,7",2008
MT,Cuiabá,Capital,"59,2","76,5","67,9","48,4","41,8","28,1","71,1","55,3","50,5",76,"64,2","73,3",58,"57,4",2008
PR,Curitiba,Capital,"66,2","85,1","73,5","63,4","65,1","62,2","54,5","37,1","53,8",75,"67,9","71,4",79,"56,9",2008
MG,Diamantina,Não capital,"54,3","70,2","62,2","47,9","55,2","31,8","44,5","60,9","37,1","49,9","44,9","55,1","57,3","77,6",2008
PE,Fernando de Noronha,Não capital,"46,9","75,3","32,1","30,9","62,8","64,2",28,"26,2",49,"52,4","22,3","48,7","75,6",39,2008
SC,Florianópolis,Capital,"62,9","78,3","67,1","65,5","57,8","35,6","69,4","55,8","33,5","74,3","76,7","68,8","64,4","57,6",2008
CE,Fortaleza,Capital,"60,6","75,5","76,2","60,6","54,6","37,1","47,7",40,"52,8","72,5","80,1","68,6","44,2","63,2",2008
PR,Foz do Iguaçu,Não capital,"66,3","70,6","74,1","66,5","71,5","67,5",58,"63,2","72,5","63,5",67,"55,3","74,9","49,6",2008
GO,Goiânia,Capital,"60,6","72,8","66,7","57,8","48,7","21,4","57,6","64,8","43,3",62,"76,5","72,1","68,4","70,4",2008
RS,Gramado,Não capital,"55,2","66,4","59,2","58,2","71,6","41,1","53,6","23,1","19,3","77,5",59,"52,4",53,"62,5",2008
SP,Ilhabela,Não capital,"52,3","60,3","53,2",44,42,"61,3","72,5",64,"54,3","42,9","24,6","71,1","55,7","37,7",2008
PE,Ipojuca,Não capital,"37,9","60,3","37,2","21,5","55,1","27,2","37,9","12,1","33,6","58,8","26,1","51,2","26,1","39,2",2008
CE,Jijoca de Jericoacoara,Não capital,"33,3","48,5",39,"31,3","52,4","12,8","17,6","37,6",0,"47,6","11,9","38,7","49,8","27,5",2008
PB,João Pessoa,Capital,"67,7","78,4","65,7","62,1",59,"77,4",69,"61,1","77,8","63,5","76,9","68,4",68,"54,9",2008
BA,Lençóis,Não capital,"49,9","70,4","35,8",29,68,"14,8","56,3","67,8","44,3","56,4",42,"55,5","63,4","51,5",2008
AP,Macapá,Capital,"47,7","50,5","49,2","48,7","48,4","27,8","51,6","24,5","35,8","51,5","46,3","54,8","66,6",59,2008
AL,Maceió,Capital,"55,9","61,6",63,66,59,"44,3",52,"29,6","25,5","62,5","70,6",45,"64,3","63,9",2008
AM,Manaus,Capital,"63,8","70,2",68,"62,3","66,4","53,5","45,4","51,1","38,8",71,"90,9","56,9","68,8","74,6",2008
AL,Maragogi,Não capital,44,"54,5",30,"34,2","60,8",29,"48,2","65,7","23,6","53,2","37,2","49,5","58,3","30,1",2008
BA,Maraú,Não capital,"41,4","37,3","35,1","23,3","54,4","49,7",54,"70,9","14,8","44,6","16,2","43,4",44,"57,3",2008
BA,Mata de São João,Não capital,"44,7","45,7","52,3","21,6","66,6","27,9","46,2","62,1","34,3","36,5","28,6","61,5","53,4","42,5",2008
TO,Mateiros,Não capital,"29,3","29,2","21,2","34,9","57,9","13,4","34,3","31,5","18,3",14,6,"28,1","49,2","35,7",2008
RN,Natal,Capital,"59,2","58,8","61,6","68,4","53,1","41,9","48,7","68,5","26,1",53,"78,1","69,6","70,5","60,2",2008
CE,Nova Olinda,Não capital,"31,6","59,8","24,2","5,5","39,2",0,"26,4","62,5",0,"47,6","8,6",34,"48,1","56,8",2008
MG,Ouro Preto,Não capital,"62,6","59,2","51,1",45,"75,7","75,8",66,"68,3",58,48,"60,2","63,9","66,1","85,4",2008
TO,Palmas,Capital,"47,2","71,4","59,8","33,9","37,4",14,"52,6",20,"57,5",47,"57,8","38,6","71,7","44,3",2008
PR,Paranaguá,Não capital,54,"72,4","45,5","40,3","57,5","40,1","62,3",52,"41,3","65,2","51,2","58,4","61,4","55,6",2008
RJ,Paraty,Não capital,"44,6",67,"64,5","40,2","62,3","26,2",26,"1,6",0,"52,4","33,4","49,1","49,2","71,2",2008
AM,Parintins,Não capital,"45,4","46,9","32,2","42,9",58,"17,6",44,"49,1","50,8","53,5","40,4","65,1","51,9","47,3",2008
PI,Parnaíba,Não capital,"41,2","60,2","52,2","38,5","52,6","7,2","38,8","7,7",3,"44,7","38,2",61,"51,2","54,6",2008
RJ,Petrópolis,Não capital,"56,7","60,1","68,1","41,8","68,3","32,7","53,9","44,9","52,4",54,"59,2","61,9","67,4","66,2",2008
GO,Pirenópolis,Não capital,"52,7","60,3","41,6","40,8","61,2","55,7","62,1",62,40,"64,4","28,3","53,4","58,9","62,1",2008
RS,Porto Alegre,Capital,"63,6","79,2","78,1","65,9","60,8","34,6","63,7","31,8",43,66,"89,5","67,8","66,3","58,2",2008
BA,Porto Seguro,Não capital,"59,1","60,4",68,"52,6","67,6","42,8",70,61,47,53,55,"59,8","66,7","57,7",2008
RO,Porto Velho,Capital,"42,8","48,9","56,4","29,5","38,8","23,9",45,43,0,"48,2","55,6","57,4","56,6","40,1",2008
PE,Recife,Capital,"70,9","77,5",67,"69,7","64,4","82,3","71,5","57,2","71,9","69,5","90,9","63,4","58,6","77,7",2008
AC,Rio Branco,Capital,"46,6","63,5","57,2",36,"45,6","15,4","50,1","38,3","7,4","68,5","49,6","54,6","60,7","45,2",2008
RJ,Rio de Janeiro,Capital,"69,7","80,6",81,67,"85,3","62,6","61,2","26,3","62,8","77,5","91,1","58,5","62,8","69,6",2008
BA,Salvador,Capital,"72,8","77,1","81,7","65,6","84,6","70,5","60,3","59,9","43,3",70,"90,9","69,1","71,5","84,8",2008
PA,Santarém,Não capital,"49,6","59,3","62,1","49,7","53,4","24,7",40,49,"58,6","43,5","47,2","56,7","51,3","40,6",2008
SC,São Joaquim,Não capital,"37,8","66,8","48,6","25,9","44,8","22,4","38,2","25,4",3,59,"24,7",48,"26,4",37,2008
MA,São Luís,Capital,"57,4","59,1","56,2","58,7","61,2","34,2","50,7","40,9","40,3",66,"74,5","64,1","65,8","69,6",2008
SP,São Paulo,Capital,72,"82,8","88,2",79,"71,6","74,6","66,6","32,6",60,75,"92,2","61,2","66,3","61,8",2008
PI,São Raimundo Nonato,Não capital,34,"57,4","23,3","17,4","69,6",12,"28,5","7,5",0,"33,9",28,"49,1","54,3","45,3",2008
PI,Teresina,Capital,"45,7","55,7","56,5","42,3","40,8",21,"41,6","12,4",3,"53,5","68,5","67,3","65,1","46,4",2008
RN,Tibau do Sul,Não capital,"39,4","46,3","39,6","33,8","40,6","15,4","50,8","66,6","20,8",27,"19,2",54,"67,1","29,8",2008
MG,Tiradentes,Não capital,"45,3","64,5","49,8",28,"62,2","26,1",37,"49,1","20,6","60,4",26,"44,4","59,6","50,8",2008
ES,Vitória,Capital,"61,4","80,4","60,5","55,9","53,2",63,"68,1","52,6","50,3","73,5","61,7","56,4","53,4","65,1",2008
GO,Alto Paraíso de Goiás,Não capital,44,"56,8","42,9","38,7","68,3","24,6","53,9","47,9","25,2","41,6","5,2","50,8","60,5","45,1",2010
RJ,Angra dos Reis,Não capital,"59,5","55,5","70,1","48,9","57,8","51,9","50,2","67,4","50,5","57,3","65,9","65,3",75,"56,8",2010
SE,Aracaju,Capital,"60,1","66,7","69,2","48,6","54,2",49,"67,2","55,2","36,4","61,4","92,2","61,4","53,1",59,2010
CE,Aracati,Não capital,"44,5",55,"46,9",28,"56,8","26,4","44,5",51,"15,2","46,9","38,5","54,5","55,1","53,2",2010
RJ,Armação dos Búzios,Não capital,"48,3","47,3","49,1",44,"61,6","52,1","51,9",42,"17,3","56,1","50,7","44,1","65,1","36,9",2010
SC,Balneário Camboriú,Não capital,"62,9","66,1","70,8","66,4","65,3","64,2","64,3","46,4","71,4","36,4","60,4","73,5","72,1","50,3",2010
AM,Barcelos,Não capital,"36,9","42,5","37,9","22,5","60,4","17,4","23,4","43,1","21,3","46,8","17,5","45,7","60,2",37,2010
MA,Barreirinhas,Não capital,"42,1","44,8","38,5","31,7","57,9","30,8","50,8","43,7","25,8","46,4","28,1","46,8","62,7","37,2",2010
PA,Belém,Capital,"66,1","79,9","72,8","66,9","72,4","49,3","55,1",44,"37,1","64,5","82,1","66,5","74,6","73,2",2010
MG,Belo Horizonte,Capital,"74,9","83,7","75,7","75,4","66,6","85,6",74,"54,8","76,9","81,7","93,7","69,7","67,8","64,4",2010
RS,Bento Gonçalves,Não capital,"65,7","79,1","61,1","66,9","65,5","50,8","66,8","74,2","37,6","78,2","74,2","68,8","58,5",66,2010
RR,Boa Vista,Capital,"54,2","67,8",65,"54,2",47,"63,4","48,3","33,4","29,7","45,6","55,2","66,7","65,2","43,5",2010
MS,Bonito,Não capital,"51,2","50,5","59,8","39,8","69,3","53,4",50,"55,5","20,5","69,8","34,8","51,8","60,7","39,6",2010
DF,Brasília,Capital,"69,6","78,5","88,3","60,5",75,41,"60,1","46,6","56,6","77,3","88,7","63,9","83,3","69,1",2010
MT,Cáceres,Não capital,"52,3","69,3","66,1","33,5",61,"17,9","51,8","40,4","32,9","51,5","53,2","64,6","60,3",64,2010
GO,Caldas Novas,Não capital,"54,4","66,4","56,1","44,2","73,3","28,6","57,6","47,1","25,2","54,9","64,7","62,3","73,7","39,1",2010
MS,Campo Grande,Capital,"56,6","74,2","69,9","58,8","36,4","35,7","46,4","59,2",21,"74,4",75,"46,9",58,"63,7",2010
MS,Corumbá,Não capital,"52,1","67,8","60,6","31,4","62,9","28,8","59,8","54,4",41,"67,8","48,6","50,1","53,9","44,8",2010
MT,Cuiabá,Capital,64,"75,3","72,2","58,1","48,1","48,6","74,7","55,3","36,7","72,8","77,6","73,6",64,"67,2",2010
PR,Curitiba,Capital,"72,7","84,6","77,5","67,6","72,9","59,4","64,7","58,6","54,3","80,9",90,80,"86,1","57,7",2010
MG,Diamantina,Não capital,"57,8",75,"67,7","52,1","58,2",40,"49,6","70,7","23,7","50,6","47,7","59,9","70,4","68,4",2010
